"location","date","new_cases","new_deaths","total_cases","total_deaths","weekly_cases","weekly_deaths","biweekly_cases","biweekly_deaths","Country.Region","continent","population_year","population"
"United States","2022-09-27",46703,458,96162907,1057247,371593,2889,748936,5766,"US","North America",2021,336997624
"India","2022-09-27",3615,22,44579088,528584,34077,181,69031,368,"India","Asia",2021,1407563842
"France","2022-09-27",75214,49,35301928,155078,266330,218,471139,416,"France","Europe",2021,67422000
"Brazil","2022-09-27",0,0,34638288,685835,0,0,0,0,"Brazil","South America",2021,214326223
"Germany","2022-09-27",95811,138,33137143,149714,339835,545,578664,1216,"Germany","Europe",2021,83408554
"South Korea","2022-09-27",36126,46,24709789,28318,206821,368,610655,785,"Korea, South","Asia",2021,51830139
"United Kingdom","2022-09-27",0,0,23621956,206532,0,0,0,0,"United Kingdom","Europe",2021,67281040
"Italy","2022-09-27",44875,64,22358487,176976,160829,307,280886,641,"Italy","Europe",2021,59240330
"Japan","2022-09-27",43670,105,21147468,44580,384104,611,850779,1557,"Japan","Asia",2021,124612530
"Russia","2022-09-27",36356,101,20569954,379120,331718,701,705790,1392,"Russia","Europe",2021,145102755
"Turkey","2022-09-27",0,0,16873793,101139,0,0,0,0,"Turkey","Asia",2021,84775404
"Spain","2022-09-27",8761,75,13412263,114084,19067,239,38147,805,"Spain","Europe",2021,47486935
"Vietnam","2022-09-27",1588,1,11475321,43147,11917,5,30394,15,"Vietnam","Asia",2021,97468028
"Australia","2022-09-27",1630,13,10207587,14963,44778,176,84712,505,"Australia","Oceania",2021,25921089
"Argentina","2022-09-27",0,0,9708420,129897,0,0,0,0,"Argentina","South America",2021,45276780
"Netherlands","2022-09-27",6877,6,8433077,22730,12263,13,21071,23,"Netherlands","Europe",2021,17501696
"Iran","2022-09-27",309,7,7547706,144409,3166,65,7390,188,"Iran","Asia",2021,87923432
"Mexico","2022-09-27",0,0,7082034,330046,0,126,0,279,"Mexico","North America",2021,126705138
