id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-23,04:00:00,19.95143,93.47272,113.4789
1,33.5,111.1,2021-07-23,04:00:00,20.244839,92.36793,103.244026
2,33.45,111.0,2021-07-23,04:00:00,23.239872,94.34279,108.2975
3,33.5,110.35,2021-07-23,04:00:00,21.896442,95.646515,103.19653
4,33.4,111.1,2021-07-23,04:00:00,23.21522,94.78746,101.13279
5,33.45,110.7,2021-07-23,04:00:00,23.843845,97.17854,123.91968
6,33.55,110.3,2021-07-23,04:00:00,21.493298,94.333115,109.32312
7,33.4,111.05,2021-07-23,04:00:00,22.957739,94.4324,107.307106
8,33.5,110.4,2021-07-23,04:00:00,22.44363,95.76404,101.18785
9,33.45,110.95,2021-07-23,04:00:00,22.653458,94.53428,111.478424
10,33.55,110.15,2021-07-23,04:00:00,19.781685,91.89445,113.41451
11,33.4,110.8,2021-07-23,04:00:00,24.114475,97.14371,130.95905
12,33.55,111.15,2021-07-23,04:00:00,20.734776,94.07493,106.55344
13,33.55,110.2,2021-07-23,04:00:00,18.677593,91.20393,111.779335
14,33.55,110.6,2021-07-23,04:00:00,22.726053,95.067,114.21843
15,33.45,110.65,2021-07-23,04:00:00,23.487291,96.47801,119.879974
16,33.4,110.55,2021-07-23,04:00:00,21.389004,94.93058,117.12587
17,33.55,110.8,2021-07-23,04:00:00,22.414318,96.5988,115.434784
18,33.55,110.85,2021-07-23,04:00:00,21.722427,96.206985,112.1785
19,33.45,110.85,2021-07-23,04:00:00,23.867496,96.57664,118.356964
20,33.4,110.35,2021-07-23,04:00:00,19.775433,94.40779,108.540634
21,33.4,111.15,2021-07-23,04:00:00,22.573565,94.09767,95.63335
22,33.45,110.4,2021-07-23,04:00:00,22.604012,96.29611,106.137184
23,33.4,110.1,2021-07-23,04:00:00,17.877937,92.01721,109.25841
24,33.4,110.85,2021-07-23,04:00:00,23.065783,95.855965,127.18176
25,33.4,110.05,2021-07-23,04:00:00,19.960173,93.87611,116.262825
26,33.5,111.0,2021-07-23,04:00:00,22.69784,93.751434,103.973175
27,33.5,110.2,2021-07-23,04:00:00,20.490568,93.48678,107.18909
28,33.55,110.95,2021-07-23,04:00:00,20.529556,94.5896,107.74847
29,33.4,110.9,2021-07-23,04:00:00,22.345032,94.55052,122.97836
30,33.4,110.95,2021-07-23,04:00:00,22.426529,94.25316,118.44534
31,33.45,110.45,2021-07-23,04:00:00,22.517159,95.75563,107.07199
32,33.4,110.15,2021-07-23,04:00:00,17.850765,92.194016,105.51316
33,33.55,111.05,2021-07-23,04:00:00,22.254524,95.19624,107.24447
34,33.4,110.6,2021-07-23,04:00:00,21.140448,94.99043,120.973076
35,33.5,111.05,2021-07-23,04:00:00,22.437782,93.877884,103.6186
36,33.45,110.1,2021-07-23,04:00:00,20.03307,93.41457,110.96668
37,33.5,110.6,2021-07-23,04:00:00,23.289429,95.17992,110.00345
38,33.4,110.45,2021-07-23,04:00:00,19.47871,93.53228,112.07643
39,33.4,110.7,2021-07-23,04:00:00,22.47284,96.2943,129.91914
40,33.45,110.8,2021-07-23,04:00:00,24.475441,97.43678,122.086914
41,33.45,111.05,2021-07-23,04:00:00,23.08343,94.55071,105.34408
