"","id","lat","lng","date","time","tem","rhu","wnd"
"1",0,33.4,110.5,"2021-07-22","12:00:00",24.109028,80.6907,113.578186
"2",1,33.5,111.1,"2021-07-22","12:00:00",24.121813,81.212616,143.21004
"3",2,33.45,111,"2021-07-22","12:00:00",26.815609,84.26876,133.60213
"4",3,33.5,110.35,"2021-07-22","12:00:00",26.56081,78.54662,91.03238
"5",4,33.4,111.1,"2021-07-22","12:00:00",26.939064,84.33766,128.30316
"6",5,33.45,110.7,"2021-07-22","12:00:00",27.501556,86.61047,124.011345
"7",6,33.55,110.3,"2021-07-22","12:00:00",25.994246,78.1087,94.96929
"8",7,33.4,111.05,"2021-07-22","12:00:00",26.591076,84.321945,127.91362
"9",8,33.5,110.4,"2021-07-22","12:00:00",26.909243,80.09924,89.724976
"10",9,33.45,110.95,"2021-07-22","12:00:00",26.229252,84.25367,131.94763
"11",10,33.55,110.15,"2021-07-22","12:00:00",24.411911,76.77023,118.660934
"12",11,33.4,110.8,"2021-07-22","12:00:00",27.676102,87.16794,127.70955
"13",12,33.55,111.15,"2021-07-22","12:00:00",25.436897,79.83311,145.56328
"14",13,33.55,110.2,"2021-07-22","12:00:00",23.36169,74.895706,107.14106
"15",14,33.55,110.6,"2021-07-22","12:00:00",26.32567,84.5809,121.490265
"16",15,33.45,110.65,"2021-07-22","12:00:00",27.217072,85.36514,118.708015
"17",16,33.4,110.55,"2021-07-22","12:00:00",25.405563,82.739,114.84555
"18",17,33.55,110.8,"2021-07-22","12:00:00",26.136793,86.036194,137.03545
"19",18,33.55,110.85,"2021-07-22","12:00:00",25.526716,85.06778,139.14119
"20",19,33.45,110.85,"2021-07-22","12:00:00",27.481697,86.12651,129.66254
"21",20,33.4,110.35,"2021-07-22","12:00:00",24.574566,77.64659,131.50449
"22",21,33.4,111.15,"2021-07-22","12:00:00",26.322912,83.11801,127.241455
"23",22,33.45,110.4,"2021-07-22","12:00:00",27.217228,80.3403,104.888504
"24",23,33.4,110.1,"2021-07-22","12:00:00",22.578777,75.254425,170.51056
"25",24,33.4,110.85,"2021-07-22","12:00:00",26.613768,85.672195,126.99388
"26",25,33.4,110.05,"2021-07-22","12:00:00",24.531395,77.61138,168.8167
"27",26,33.5,111,"2021-07-22","12:00:00",26.37273,83.32889,138.9307
"28",27,33.5,110.2,"2021-07-22","12:00:00",25.396889,76.34424,111.293106
"29",28,33.55,110.95,"2021-07-22","12:00:00",24.516697,82.57417,143.32033
"30",29,33.4,110.9,"2021-07-22","12:00:00",25.91456,84.34592,126.30524
"31",30,33.4,110.95,"2021-07-22","12:00:00",25.979462,84.23777,126.92128
"32",31,33.45,110.45,"2021-07-22","12:00:00",26.836388,81.51877,104.90735
"33",32,33.4,110.15,"2021-07-22","12:00:00",22.589317,74.791794,163.69974
"34",33,33.55,111.05,"2021-07-22","12:00:00",26.540485,82.38896,146.07489
"35",34,33.4,110.6,"2021-07-22","12:00:00",24.99907,83.47567,116.04643
"36",35,33.5,111.05,"2021-07-22","12:00:00",26.165218,83.19046,141.12189
"37",36,33.45,110.1,"2021-07-22","12:00:00",24.707432,77.34128,156.76021
"38",37,33.5,110.6,"2021-07-22","12:00:00",26.994423,84.124405,111.342186
"39",38,33.4,110.45,"2021-07-22","12:00:00",23.932816,79.04636,118.08539
"40",39,33.4,110.7,"2021-07-22","12:00:00",26.091713,86.2737,123.88192
"41",40,33.45,110.8,"2021-07-22","12:00:00",28.116531,87.01513,129.07355
"42",41,33.45,111.05,"2021-07-22","12:00:00",26.695765,84.18718,135.03531
"43",42,33.55,110.1,"2021-07-22","12:00:00",24.8012,78.12355,131.70493
"44",43,33.5,110.8,"2021-07-22","12:00:00",27.356382,85.77653,130.33992
"45",44,33.5,110.7,"2021-07-22","12:00:00",26.830778,85.21564,124.1304
"46",45,33.45,110.05,"2021-07-22","12:00:00",24.086748,77.48217,159.16055
"47",46,33.5,110.05,"2021-07-22","12:00:00",25.16618,78.57242,149.07516
"48",47,33.4,110.4,"2021-07-22","12:00:00",24.10582,77.84937,123.54355
"49",48,33.45,110.35,"2021-07-22","12:00:00",27.486252,79.68317,109.292656
"50",49,33.5,110.25,"2021-07-22","12:00:00",26.279934,76.33381,100.76354
"51",50,33.55,110.75,"2021-07-22","12:00:00",26.754967,86.548386,134.50479
"52",51,33.45,110.15,"2021-07-22","12:00:00",26.049257,77.835526,145.92172
"53",52,33.45,111.1,"2021-07-22","12:00:00",26.814472,84.084366,136.44167
"54",53,33.5,110.75,"2021-07-22","12:00:00",27.538834,85.96626,127.267075
"55",54,33.5,111.15,"2021-07-22","12:00:00",24.764156,81.40722,143.4443
"56",55,33.55,110.45,"2021-07-22","12:00:00",26.277695,82.4718,101.71494
"57",56,33.55,110.25,"2021-07-22","12:00:00",25.347965,76.41214,100.453705
"58",57,33.5,110.15,"2021-07-22","12:00:00",25.491173,77.21691,125.99135
"59",58,33.5,110.9,"2021-07-22","12:00:00",26.95941,84.807884,133.85466
"60",59,33.55,110.05,"2021-07-22","12:00:00",23.827934,78.31172,142.06398
"61",60,33.55,110.55,"2021-07-22","12:00:00",25.62915,83.68836,114.148346
"62",61,33.4,110.3,"2021-07-22","12:00:00",24.31705,76.5943,140.72574
"63",62,33.55,110.65,"2021-07-22","12:00:00",27.289515,85.80217,126.73018
"64",63,33.5,110.85,"2021-07-22","12:00:00",27.31221,85.59358,132.12573
"65",64,33.4,111,"2021-07-22","12:00:00",26.223087,84.04592,127.53324
"66",65,33.45,110.25,"2021-07-22","12:00:00",27.312311,77.97776,124.255424
"67",66,33.45,111.15,"2021-07-22","12:00:00",26.288645,83.101845,135.95305
"68",67,33.5,110.1,"2021-07-22","12:00:00",25.534145,78.134766,141.66243
"69",68,33.5,110.45,"2021-07-22","12:00:00",26.859568,81.63065,93.57708
"70",69,33.55,110.9,"2021-07-22","12:00:00",24.492111,83.42131,141.27083
"71",70,33.55,110.4,"2021-07-22","12:00:00",27.049427,81.70695,96.37221
"72",71,33.5,110.65,"2021-07-22","12:00:00",27.660627,85.03581,117.618
"73",72,33.75,111.9,"2021-07-22","12:00:00",24.064022,82.62274,146.83328
"74",73,33.7,111.6,"2021-07-22","12:00:00",22.765377,75.018814,183.55135
"75",74,33.7,111.35,"2021-07-22","12:00:00",25.568352,74.82611,149.96478
"76",75,33.75,111.55,"2021-07-22","12:00:00",23.521866,75.36715,168.6794
"77",76,33.75,111.5,"2021-07-22","12:00:00",23.00502,74.74874,167.02136
"78",77,33.75,111.6,"2021-07-22","12:00:00",24.528873,76.518524,171.01468
"79",78,33.75,111.65,"2021-07-22","12:00:00",24.821568,77.68204,160.4341
"80",79,33.7,111.4,"2021-07-22","12:00:00",26.152084,76.000305,155.57855
"81",80,33.7,111.45,"2021-07-22","12:00:00",24.48064,74.96252,163.69902
"82",81,33.7,111.7,"2021-07-22","12:00:00",22.872595,77.25324,170.13614
"83",82,33.75,111.35,"2021-07-22","12:00:00",22.297623,71.91318,153.48122
"84",83,33.7,111.8,"2021-07-22","12:00:00",22.21429,78.73931,145.1633
"85",84,33.7,111.55,"2021-07-22","12:00:00",23.63768,75.29111,177.54688
"86",85,33.7,111.5,"2021-07-22","12:00:00",22.18356,73.490135,172.37802
"87",86,33.7,111.75,"2021-07-22","12:00:00",22.926197,78.64797,156.08183
"88",87,33.7,111.25,"2021-07-22","12:00:00",25.049877,73.497505,143.90526
"89",88,33.7,111.9,"2021-07-22","12:00:00",24.190725,83.7773,143.47276
"90",89,33.75,111.95,"2021-07-22","12:00:00",23.293812,83.688,151.16103
"91",90,33.75,111.4,"2021-07-22","12:00:00",22.065548,72.37097,156.90804
"92",91,33.75,111.3,"2021-07-22","12:00:00",21.684032,70.6522,150.21611
"93",92,33.75,109.4,"2021-07-22","12:00:00",23.788986,77.96582,155.05844
"94",93,33.7,109.75,"2021-07-22","12:00:00",22.45303,77.26979,167.28662
"95",94,33.75,109.6,"2021-07-22","12:00:00",21.661934,77.13008,158.93591
"96",95,33.75,110.2,"2021-07-22","12:00:00",25.314304,78.68802,136.64095
"97",96,33.75,109.35,"2021-07-22","12:00:00",22.495682,76.79398,155.76468
"98",97,33.7,110.3,"2021-07-22","12:00:00",26.364998,80.535736,124.179596
"99",98,33.75,109.85,"2021-07-22","12:00:00",22.210732,78.260544,160.1482
"100",99,33.75,110.15,"2021-07-22","12:00:00",26.365135,79.98698,135.12408
"101",100,33.75,109.45,"2021-07-22","12:00:00",22.205454,77.395805,156.26645
"102",101,33.7,109.95,"2021-07-22","12:00:00",20.48102,76.97545,153.12881
"103",102,33.75,109.9,"2021-07-22","12:00:00",21.153576,76.84813,154.4979
"104",103,33.75,110.35,"2021-07-22","12:00:00",22.009192,79.253426,139.15009
"105",104,33.7,110.1,"2021-07-22","12:00:00",23.641817,78.291046,129.83241
"106",105,33.7,109.55,"2021-07-22","12:00:00",23.19287,78.35938,155.41446
"107",106,33.75,109.15,"2021-07-22","12:00:00",22.617252,75.404655,163.4339
"108",107,33.7,109.35,"2021-07-22","12:00:00",21.43424,75.59053,149.21475
"109",108,33.7,109.15,"2021-07-22","12:00:00",24.726902,77.262825,154.47162
"110",109,33.75,110.25,"2021-07-22","12:00:00",24.450474,77.99982,137.17566
"111",110,33.75,110.3,"2021-07-22","12:00:00",23.608223,78.68288,137.66653
"112",111,33.7,109.65,"2021-07-22","12:00:00",24.393631,78.81856,160.90543
"113",112,33.3,111.8,"2021-07-22","12:00:00",27.448845,82.423676,148.78632
"114",113,33.3,111.55,"2021-07-22","12:00:00",27.816334,79.58622,129.08115
"115",114,33.25,111.55,"2021-07-22","12:00:00",27.821606,80.98988,126.34964
"116",115,33.25,111.3,"2021-07-22","12:00:00",25.407316,79.47931,119.52432
"117",116,33.25,111.7,"2021-07-22","12:00:00",28.036327,81.228645,131.11838
"118",117,33.25,111.6,"2021-07-22","12:00:00",27.947273,80.658005,126.09821
"119",118,33.25,111.65,"2021-07-22","12:00:00",28.00831,81.05351,128.58937
"120",119,33.3,111.6,"2021-07-22","12:00:00",27.708515,79.348175,130.03125
"121",120,33.25,111.25,"2021-07-22","12:00:00",26.287827,80.78158,121.10331
"122",121,33.25,111.5,"2021-07-22","12:00:00",27.20448,81.01184,126.61986
"123",122,33.3,111.85,"2021-07-22","12:00:00",26.555027,83.07446,148.52756
"124",123,33.3,111.45,"2021-07-22","12:00:00",28.086336,80.39107,124.77922
"125",124,33.3,111.65,"2021-07-22","12:00:00",27.213905,79.60098,133.34116
"126",125,33.3,111.7,"2021-07-22","12:00:00",26.868904,79.812874,136.78738
"127",126,33.3,111.95,"2021-07-22","12:00:00",25.297562,83.96306,134.66583
"128",127,33.3,111.9,"2021-07-22","12:00:00",26.476486,84.065384,148.23169
"129",128,33.3,111.3,"2021-07-22","12:00:00",26.334179,79.40588,116.12834
"130",129,33.25,111.4,"2021-07-22","12:00:00",26.547794,80.55417,122.64391
"131",130,33.25,111.8,"2021-07-22","12:00:00",28.028828,82.269485,140.4058
"132",131,33.25,111.75,"2021-07-22","12:00:00",28.22214,81.654594,135.54172
"133",132,33.25,109.8,"2021-07-22","12:00:00",23.800861,78.31912,128.14142
"134",133,33.8,111.75,"2021-07-22","12:00:00",24.885138,77.6788,124.78672
"135",134,33.8,109.95,"2021-07-22","12:00:00",24.643726,78.01308,136.46417
"136",135,33.35,110.55,"2021-07-22","12:00:00",24.049675,82.33353,122.66169
"137",136,33.2,111.2,"2021-07-22","12:00:00",26.838345,82.17104,127.06349
"138",137,33.7,110.95,"2021-07-22","12:00:00",23.345806,78.951675,155.94736
"139",138,33.25,111.95,"2021-07-22","12:00:00",27.180101,83.54674,123.18506
"140",139,33.4,110.5,"2021-07-22","12:00:00",24.109028,80.6907,113.578186
"141",140,33.3,109.55,"2021-07-22","12:00:00",26.55444,80.42174,158.40955
"142",141,33.35,111.7,"2021-07-22","12:00:00",26.353691,79.92494,139.55377
"143",142,33.7,110.8,"2021-07-22","12:00:00",19.639217,83.749504,153.90886
"144",143,33.8,110.6,"2021-07-22","12:00:00",22.14233,83.62334,166.07812
"145",144,33.55,110.15,"2021-07-22","12:00:00",24.411911,76.77023,118.660934
"146",145,33.65,111.05,"2021-07-22","12:00:00",25.69486,79.230835,151.54318
"147",146,33.25,111.6,"2021-07-22","12:00:00",27.947273,80.658005,126.09821
