"date","time"
"2021-07-22","12:00:00"
"2021-07-22","16:00:00"
"2021-07-22","20:00:00"
"2021-07-23","00:00:00"
"2021-07-23","04:00:00"
"2021-07-23","08:00:00"
"2021-07-23","12:00:00"
"2021-07-23","16:00:00"
"2021-07-23","20:00:00"
"2021-07-24","00:00:00"
"2021-07-24","04:00:00"
"2021-07-24","08:00:00"
"2021-07-24","12:00:00"
"2021-07-24","16:00:00"
"2021-07-24","20:00:00"
"2021-07-25","00:00:00"
"2021-07-25","04:00:00"
"2021-07-25","08:00:00"
"2021-07-25","12:00:00"
"2021-07-25","16:00:00"
"2021-07-25","20:00:00"
"2021-07-26","00:00:00"
"2021-07-26","04:00:00"
