date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2022-09-27,United States,46703,458,96162907,1057247,371593,2889,748936,5766
2022-09-27,India,3615,22,44579088,528584,34077,181,69031,368
2022-09-27,France,75214,49,35301928,155078,266330,218,471139,416
2022-09-27,Brazil,0,0,34638288,685835,0,0,0,0
2022-09-27,Germany,95811,138,33137143,149714,339835,545,578664,1216
2022-09-27,South Korea,36126,46,24709789,28318,206821,368,610655,785
2022-09-27,United Kingdom,0,0,23621956,206532,0,0,0,0
2022-09-27,Italy,44875,64,22358487,176976,160829,307,280886,641
2022-09-27,Japan,43670,105,21147468,44580,384104,611,850779,1557
2022-09-27,Russia,36356,101,20569954,379120,331718,701,705790,1392
2022-09-27,Turkey,0,0,16873793,101139,0,0,0,0
2022-09-27,Spain,8761,75,13412263,114084,19067,239,38147,805
2022-09-27,Vietnam,1588,1,11475321,43147,11917,5,30394,15
2022-09-27,Australia,1630,13,10207587,14963,44778,176,84712,505
2022-09-27,Argentina,0,0,9708420,129897,0,0,0,0
2022-09-27,Netherlands,6877,6,8433077,22730,12263,13,21071,23
2022-09-27,Iran,309,7,7547706,144409,3166,65,7390,188
2022-09-27,Mexico,0,0,7082034,330046,0,126,0,279
2022-09-27,Indonesia,1976,21,6425849,158057,12905,127,28613,250
2022-09-27,Taiwan,45784,28,6324578,10912,281039,308,569895,583
2022-09-27,Colombia,0,0,6306552,141769,0,0,0,0
2022-09-27,Poland,6482,25,6280530,117481,27486,114,59398,201
2022-09-27,Portugal,805,4,5481669,25012,15420,42,32956,81
2022-09-27,Ukraine,249,0,5432840,116868,39622,98,67328,181
2022-09-27,Austria,10654,10,5090354,20723,56557,40,93787,67
2022-09-27,Greece,44977,101,4920192,33111,44977,101,81381,217
2022-09-27,Malaysia,1552,6,4834560,36363,12696,39,25664,72
2022-09-27,Thailand,0,0,4679022,32736,0,0,0,0
2022-09-27,Israel,1377,0,4659133,11687,5966,6,13968,20
2022-09-27,Chile,1925,2,4612278,61087,23745,137,43783,265
2022-09-27,Belgium,0,0,4533249,32659,0,0,0,0
2022-09-27,Canada,3187,27,4267612,45263,17814,230,37626,617
2022-09-27,Peru,0,0,4141410,216514,0,0,0,0
2022-09-27,Switzerland,16872,0,4103959,14001,16872,5,30611,9
2022-09-27,Czechia,4229,10,4099713,41049,21648,82,36973,131
2022-09-27,South Africa,314,0,4018102,102169,1945,0,3378,0
2022-09-27,Philippines,1455,30,3941656,62849,16330,229,31884,467
2022-09-27,Denmark,1476,4,3295332,7043,7282,37,12495,60
2022-09-27,Romania,1862,11,3264771,66992,8419,55,19885,118
2022-09-27,Slovakia,1064,3,2622211,20453,4937,14,41463,217
2022-09-27,Sweden,0,0,2583370,20178,0,0,0,0
2022-09-27,Iraq,477,3,2459982,25355,733,3,1473,7
2022-09-27,Serbia,2747,14,2354273,16974,15439,72,32424,137
