id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-24,08:00:00,20.942923,88.51024,103.14592
1,33.5,111.1,2021-07-24,08:00:00,21.946285,87.52234,347.4017
2,33.45,111.0,2021-07-24,08:00:00,24.550653,91.283264,306.81094
3,33.5,110.35,2021-07-24,08:00:00,22.714735,93.5317,78.203514
4,33.4,111.1,2021-07-24,08:00:00,24.662867,91.089096,293.88745
5,33.45,110.7,2021-07-24,08:00:00,24.651783,93.83394,110.60725
6,33.55,110.3,2021-07-24,08:00:00,22.131874,91.38878,83.23492
7,33.4,111.05,2021-07-24,08:00:00,24.311304,91.00343,289.321
8,33.5,110.4,2021-07-24,08:00:00,23.332642,93.362274,79.14885
9,33.45,110.95,2021-07-24,08:00:00,23.862255,91.58148,302.63382
10,33.55,110.15,2021-07-24,08:00:00,20.566776,86.5813,99.59957
11,33.4,110.8,2021-07-24,08:00:00,24.968884,93.811066,111.59101
12,33.55,111.15,2021-07-24,08:00:00,22.633026,87.195915,4.961426
13,33.55,110.2,2021-07-24,08:00:00,19.360968,86.65732,94.15517
14,33.55,110.6,2021-07-24,08:00:00,23.61959,91.133255,110.674034
15,33.45,110.65,2021-07-24,08:00:00,24.289015,92.90599,107.72519
16,33.4,110.55,2021-07-24,08:00:00,22.336802,90.33014,105.18936
17,33.55,110.8,2021-07-24,08:00:00,23.64291,92.20973,181.23691
18,33.55,110.85,2021-07-24,08:00:00,23.050617,91.74925,11.813309
19,33.45,110.85,2021-07-24,08:00:00,24.874643,93.67011,290.44812
20,33.4,110.35,2021-07-24,08:00:00,20.943054,87.72572,93.95459
21,33.4,111.15,2021-07-24,08:00:00,24.148914,89.541306,299.31763
22,33.45,110.4,2021-07-24,08:00:00,23.666254,91.629776,88.75325
23,33.4,110.1,2021-07-24,08:00:00,18.655895,86.83974,72.802055
24,33.4,110.85,2021-07-24,08:00:00,24.01445,92.55527,151.17084
25,33.4,110.05,2021-07-24,08:00:00,20.729572,88.243095,76.36873
26,33.5,111.0,2021-07-24,08:00:00,24.099676,90.768036,329.4413
27,33.5,110.2,2021-07-24,08:00:00,21.192957,89.60144,85.37556
28,33.55,110.95,2021-07-24,08:00:00,22.035168,89.82442,5.3573914
29,33.4,110.9,2021-07-24,08:00:00,23.424355,91.23968,271.6238
30,33.4,110.95,2021-07-24,08:00:00,23.594627,91.029755,280.34525
31,33.45,110.45,2021-07-24,08:00:00,23.505695,91.2675,93.41925
32,33.4,110.15,2021-07-24,08:00:00,18.64964,86.77577,78.00279
33,33.55,111.05,2021-07-24,08:00:00,23.940912,89.686386,2.5193787
34,33.4,110.6,2021-07-24,08:00:00,22.050665,90.69763,107.549774
35,33.5,111.05,2021-07-24,08:00:00,23.983965,89.96045,339.3245
36,33.45,110.1,2021-07-24,08:00:00,20.77285,87.94304,87.14264
37,33.5,110.6,2021-07-24,08:00:00,24.118246,91.685974,104.17992
38,33.4,110.45,2021-07-24,08:00:00,20.569231,87.7366,100.20766
39,33.4,110.7,2021-07-24,08:00:00,23.254416,92.82498,107.896904
40,33.45,110.8,2021-07-24,08:00:00,25.392164,94.39433,119.020424
41,33.45,111.05,2021-07-24,08:00:00,24.51236,90.86156,314.54056
42,33.55,110.1,2021-07-24,08:00:00,21.108864,86.262695,103.80088
43,33.5,110.8,2021-07-24,08:00:00,24.614994,93.72479,265.73166
44,33.5,110.7,2021-07-24,08:00:00,24.031004,92.68467,117.380295
45,33.45,110.05,2021-07-24,08:00:00,20.314186,87.32087,92.096146
46,33.5,110.05,2021-07-24,08:00:00,21.430706,87.39334,100.33292
47,33.4,110.4,2021-07-24,08:00:00,20.58851,87.20416,97.11592
48,33.45,110.35,2021-07-24,08:00:00,23.748014,92.05548,86.42572
49,33.5,110.25,2021-07-24,08:00:00,22.041225,91.75516,81.61669
50,33.55,110.75,2021-07-24,08:00:00,24.228653,92.623474,144.01468
51,33.45,110.15,2021-07-24,08:00:00,22.041899,89.432495,85.52625
52,33.45,111.1,2021-07-24,08:00:00,24.667313,90.4874,321.07025
53,33.5,110.75,2021-07-24,08:00:00,24.763823,93.717255,123.7658
54,33.5,111.15,2021-07-24,08:00:00,22.554922,87.10271,356.1386
55,33.55,110.45,2021-07-24,08:00:00,23.131731,91.506676,89.60841
56,33.55,110.25,2021-07-24,08:00:00,21.323265,89.58902,89.214966
57,33.5,110.15,2021-07-24,08:00:00,21.424137,88.48999,90.83636
58,33.5,110.9,2021-07-24,08:00:00,24.43471,93.06987,308.7898
59,33.55,110.05,2021-07-24,08:00:00,20.32558,85.95789,107.42623
60,33.55,110.55,2021-07-24,08:00:00,22.826746,90.528595,101.388435
61,33.4,110.3,2021-07-24,08:00:00,20.591064,87.22314,90.58912
62,33.55,110.65,2021-07-24,08:00:00,24.633953,92.19445,118.04325
63,33.5,110.85,2021-07-24,08:00:00,24.680428,93.73169,301.7899
64,33.4,111.0,2021-07-24,08:00:00,23.914398,90.69863,283.7671
65,33.45,110.25,2021-07-24,08:00:00,23.234335,91.382065,84.0313
66,33.45,111.15,2021-07-24,08:00:00,24.18566,89.07507,330.20755
67,33.5,110.1,2021-07-24,08:00:00,21.604694,87.6392,95.54579
68,33.5,110.45,2021-07-24,08:00:00,23.564018,92.32328,85.23475
69,33.55,110.9,2021-07-24,08:00:00,22.013788,90.637886,9.409821
70,33.55,110.4,2021-07-24,08:00:00,23.649046,92.64952,84.108185
71,33.5,110.65,2021-07-24,08:00:00,24.799274,92.69026,107.83501
72,33.75,111.9,2021-07-24,08:00:00,20.463558,91.53089,39.60228
73,33.7,111.6,2021-07-24,08:00:00,18.807178,84.76333,46.79933
74,33.7,111.35,2021-07-24,08:00:00,21.401958,84.84543,39.505035
75,33.75,111.55,2021-07-24,08:00:00,19.62299,85.78843,47.673172
76,33.75,111.5,2021-07-24,08:00:00,19.178726,84.52553,47.906113
77,33.75,111.6,2021-07-24,08:00:00,20.500374,87.375595,47.433075
78,33.75,111.65,2021-07-24,08:00:00,20.745037,88.07627,49.52475
79,33.7,111.4,2021-07-24,08:00:00,21.933178,85.61682,41.08081
80,33.7,111.45,2021-07-24,08:00:00,20.31534,84.56467,40.077072
81,33.7,111.7,2021-07-24,08:00:00,19.07207,84.93451,56.066864
82,33.75,111.35,2021-07-24,08:00:00,18.134836,82.35518,66.27622
83,33.7,111.8,2021-07-24,08:00:00,18.509447,86.3821,52.25705
84,33.7,111.55,2021-07-24,08:00:00,19.64134,84.99187,43.314255
85,33.7,111.5,2021-07-24,08:00:00,18.115725,83.12018,39.29666
86,33.7,111.75,2021-07-24,08:00:00,19.247309,85.95064,54.382965
87,33.7,111.25,2021-07-24,08:00:00,20.963703,84.42378,26.938232
88,33.7,111.9,2021-07-24,08:00:00,20.98364,89.66314,42.852325
89,33.75,111.95,2021-07-24,08:00:00,19.989042,91.813095,49.141556
90,33.75,111.4,2021-07-24,08:00:00,17.977474,82.449844,63.261795
91,33.75,111.3,2021-07-24,08:00:00,17.46297,81.57626,70.04825
92,33.75,109.4,2021-07-24,08:00:00,19.71595,89.14979,130.19228
93,33.7,109.75,2021-07-24,08:00:00,18.848598,84.704544,121.64942
94,33.75,109.6,2021-07-24,08:00:00,18.053799,84.99459,127.6642
95,33.75,110.2,2021-07-24,08:00:00,21.90194,88.33815,133.46945
96,33.75,109.35,2021-07-24,08:00:00,18.411644,89.090515,128.90648
97,33.7,110.3,2021-07-24,08:00:00,22.940353,90.086914,119.49986
98,33.75,109.85,2021-07-24,08:00:00,18.84613,86.65451,112.37354
99,33.75,110.15,2021-07-24,08:00:00,23.069294,88.58669,130.00314
100,33.75,109.45,2021-07-24,08:00:00,18.300575,87.329285,130.36151
101,33.7,109.95,2021-07-24,08:00:00,17.429775,83.74669,115.81584
102,33.75,109.9,2021-07-24,08:00:00,17.863369,86.02695,109.34356
103,33.75,110.35,2021-07-24,08:00:00,18.957815,87.22925,126.98923
104,33.7,110.1,2021-07-24,08:00:00,20.503983,84.773285,121.260925
105,33.7,109.55,2021-07-24,08:00:00,19.291332,86.584885,122.574326
106,33.75,109.15,2021-07-24,08:00:00,18.317942,91.26725,110.23488
107,33.7,109.35,2021-07-24,08:00:00,17.49673,88.43007,112.955925
108,33.7,109.15,2021-07-24,08:00:00,20.630295,92.33466,77.86978
109,33.75,110.25,2021-07-24,08:00:00,21.01158,88.329926,131.51186
110,33.75,110.3,2021-07-24,08:00:00,20.30401,88.124825,129.67296
111,33.7,109.65,2021-07-24,08:00:00,20.681032,86.604294,122.86054
112,33.3,111.8,2021-07-24,08:00:00,25.364933,83.920685,24.442383
113,33.3,111.55,2021-07-24,08:00:00,25.2737,85.0343,311.3862
114,33.25,111.55,2021-07-24,08:00:00,25.181412,86.38277,311.97815
115,33.25,111.3,2021-07-24,08:00:00,22.606472,86.47691,351.19498
116,33.25,111.7,2021-07-24,08:00:00,25.910688,84.71651,275.43195
117,33.25,111.6,2021-07-24,08:00:00,25.372892,85.44603,307.2849
118,33.25,111.65,2021-07-24,08:00:00,25.694153,85.142944,295.3487
119,33.3,111.6,2021-07-24,08:00:00,25.225819,83.85948,310.09888
120,33.25,111.25,2021-07-24,08:00:00,23.233639,89.773865,339.30722
121,33.25,111.5,2021-07-24,08:00:00,24.467392,87.062836,315.3855
122,33.3,111.85,2021-07-24,08:00:00,24.3313,84.4598,29.067612
